Chemicals,ChemicalsID,Length,PMID
DPPH,C004931,197,"[32743668, 32743668, 33743702, 38067519, 24689437, 31765702, 31765702, 33093944, 36615412, 28852739, 36411530, 17125234, 17125234, 26993243, 26993243, 34214306, 31434338, 34609530, 29986518, 29759727, 33386937, 33386937, 38057589, 34202523, 35083850, 35083850, 36364472, 31979983, 35201581, 27879655, 27879655, 34327237, 36462111, 34576923, 36512748, 36512748, 33309650, 27868205, 29374569, 28436321, 28436321, 37644606, 20645805, 36637545, 36637545, 35200679, 31813856, 31813856, 34595890, 34595890, 31052486, 36964798, 24206732, 23993531, 25026989, 23936810, 32174195, 31652440, 34507767, 30158491, 33645028, 34227409, 35761187, 36900961, 35866211, 35866211, 35255883, 34587422, 29874240, 33916555, 17619930, 31542822, 31542822, 34436253, 34436253, 32479024, 37110485, 23869482, 29379181, 36235256, 29734648, 37446686, 17309298, 30563178, 32443449, 37375314, 30776385, 30776385, 30339926, 36451566, 23870867, 25797403, 25797403, 19459082, 34199157, 37585318, 37585318, 31679288, 30486303, 35913539, 36677409, 29730002, 34264405, 29912165, 31125207, 26559857, 35295309, 27562017, 32517286, 37110128, 27049956, 37779226, 26220632, 37642432, 38097318, 36338578, 28450128, 32298749, 37999234, 35094184, 35094184, 37415810, 22235886, 22235886, 30775186, 26828471, 26828471, 33918943, 33918943, 24250543, 35680569, 28407906, 28407906, 38248931, 37894138, 25587339, 27272544, 26688290, 30429444, 29275696, 35890128, 35890128, 36558039, 33062385, 34235296, 27601844, 34867905, 30868071, 30868071, 24663118, 24663118, 31901132, 29859076, 31930836, 31930836, 37055840, 37055840, 31114564, 26995670, 36871983, 32235525, 32290763, 30095414, 25863020, 24371454, 24371454, 29243621, 26709153, 24547933, 24547933, 19147108, 25746618, 20355042, 22004964, 18565749, 30513345, 29773008, 25404219, 25404219, 25418207, 23442636, 23442636, 27756154, 17061830, 31993159, 31993159, 25746617, 26559860, 23661989, 26854104, 27052674, 27052674, 23662617, 31489456, 31489456, 20607489, 23460242]"
hypericin,C004965,9,"[27999964, 19746917, 31112560, 21626142, 21626142, 30291388, 27200034, 27200034, 22661825]"
ferulic acid,C004999,22,"[22852578, 17706732, 34609530, 7480342, 36637545, 36769333, 30109409, 35678834, 37585318, 37585318, 35744767, 36967924, 35094184, 31781814, 31781814, 35247098, 28844340, 38079052, 34867905, 12696935, 23686468, 23206756]"
flavoglaucin,C005001,6,"[19422073, 15240076, 23770564, 30658506, 33861173, 35205947]"
cyclamides,C005008,1,[33765498]
harmane,C005010,1,[29194412]
magnesium silicate,C005013,1,[29306327]
fulvic acid,C005023,1,[35366684]
1-hexadecanol,C005031,1,[37122583]
3-hydroxy-kynurenine,C005045,5,"[25486577, 25074636, 25074636, 32147388, 32147388]"
isoprene,C005059,9,"[35938791, 22981000, 37169980, 26295461, 35508844, 26204758, 36297252, 29371561, 20085309]"
borrelidin,C005066,2,"[35063731, 24131731]"
ethephon,C005073,2,"[21075959, 33537050]"
beta-methyllanthionine,C005080,1,[30603877]
juglone,C005134,1,[27554775]
Robinin,C005183,2,"[38141183, 29906777]"
alternariol,C005197,55,"[32580753, 22289771, 22289771, 11109318, 569466, 25731032, 35475649, 24071643, 23782173, 36707757, 34486889, 23744904, 22742524, 22567889, 27517345, 27517345, 24532063, 34482184, 36982130, 35878437, 30500690, 37050021, 15822993, 25751147, 24735402, 22792370, 24858094, 22906495, 34425462, 11469319, 11469319, 33861173, 26869346, 35437629, 34323368, 26190606, 32794137, 34575836, 30552586, 27845716, 38147116, 31641809, 37915561, 32075201, 33946240, 30018598, 33201689, 34867905, 31406682, 37483790, 37077634, 37683805, 37683805, 37816292, 37816292]"
sodium metabisulphite,C005200,1,[20185187]
methyl acetoacetate,C005217,1,[23922264]
methyl bromide,C005218,1,[30818644]
2-butanone,C005222,3,"[15141066, 15635654, 23612372]"
methyl isothiocyanate,C005227,1,[35791605]
itaconic acid,C005229,19,"[33955461, 27750034, 27469970, 27469970, 27469970, 31715206, 36604572, 32198121, 23928842, 20618892, 27291673, 27291673, 35330271, 30065845, 30065845, 36547610, 36547610, 36547610, 27682234]"
6-methylsalicylic acid,C005236,10,"[26422178, 28368369, 3708444, 26374386, 24684908, 19589392, 1176956, 24011431, 37218693, 27723963]"
myristicin,C005246,1,[30806846]
nebularine,C005248,1,[17279797]
Naringenin,C005273,31,"[38103029, 38103029, 35182869, 33523769, 33523769, 35575690, 37755508, 34251173, 34251173, 24685654, 18512022, 35151990, 35151990, 35151990, 37566738, 32998304, 29855494, 28480420, 18218974, 19631278, 26433966, 12872984, 29970082, 20132953, 16332809, 31622552, 27810393, 26553209, 26553209, 26638490, 33995321]"
naringin,C005274,6,"[37566738, 26433966, 23250224, 27810393, 34745078, 33684718]"
orcinol,C005282,13,"[32743668, 37877655, 37877655, 25011010, 25011010, 36781157, 15822993, 29027474, 36551248, 35955606, 32479024, 36157764, 34178568]"
dimethoxybenzenes,C005299,1,[37981018]
l-norvaline,C005313,2,"[34714461, 24841822]"
pantolactone,C005412,1,[37426966]
orotidine 5'-monophosphate,C005417,1,[34387324]
alpha-pinene,C005451,12,"[35014870, 29679267, 34825755, 30069568, 32506599, 27231874, 36383525, 37252901, 27064866, 33926109, 37283700, 29707819]"
methylenedioxy,C005455,1,[36737755]
Benzothiazole,C005465,3,"[33325724, 33325724, 37490243]"
ursolic acid,C005466,11,"[29749738, 18758096, 26971493, 26971493, 33618379, 31898904, 22039103, 29671794, 23132656, 23132656, 23132656]"
(E)-4-7-dihydroxyoct-2-enoic acid,C005476,1,[36770808]
magnolol,C005498,1,[28040409]
honokiol,C005499,1,[28040409]
naphthazarin,C005503,2,"[31272343, 37352186]"
questiomycin A,C005512,4,"[33047278, 33806727, 15283339, 33861173]"
azulene,C005525,2,"[28714266, 35814705]"
2-methyl-isoborneol,C005536,7,"[11472940, 9298190, 34662717, 37544109, 31832838, 31832838, 31832838]"
chrysogine,C005537,12,"[32796640, 31284717, 29196288, 29196288, 28958507, 32758403, 15280651, 26030999, 8546454, 37630296, 16738124, 12475276]"
methyl linoleate,C005575,2,"[31246580, 37812276]"
oleic acid trimethylsilyl ester,C005576,2,"[37610512, 28000514]"
3-4-dihydroxybenzaldehyde,C005581,3,"[23799608, 21628917, 16908141]"
Lactobionic Acid,C005608,2,"[37110128, 37110128]"
benzoylecgonine,C005618,2,"[29306167, 29306167]"
spheroidene,C005637,1,[33526758]
2-4-7-trinitrofluorenone,C005644,1,[36557944]
sphinganine,C005682,2,"[32703172, 18079032]"
sinapine,C005685,1,[12226501]
salicylhydroxamic acid,C005703,3,"[32986977, 31161931, 31161931]"
sanguinarine,C005705,11,"[25850254, 18211706, 20829053, 20829053, 24513861, 18420297, 20349332, 20349332, 18309269, 28705748, 21083930]"
ajmalicine,C005709,1,[26983347]
sulfamates,C005741,1,[29550883]
2-Hydroxyphenyl acetic acid,C005756,2,"[28220202, 35208854]"
Thujone,C005790,3,"[32506599, 29848985, 35807610]"
pentachloronitrobenzene,C005805,1,[34623150]
Resazurin,C005843,6,"[29604211, 19746917, 33477273, 30137328, 22866120, 27536140]"
trimethylamine-N-oxide,C005855,20,"[29172946, 29172946, 25691688, 37175726, 34360839, 34360839, 34273006, 34273006, 34552566, 32214138, 32214138, 30712327, 33373432, 32066294, 32066294, 29889418, 29889418, 32762536, 33079568, 30410105]"
Versicolorin,C005888,3,"[31546792, 2615792, 16944285]"
alpha-isopropylmalate,C005906,1,[37455545]
DON,C005914,7,"[22742524, 22100541, 25609182, 31159287, 33890134, 27242681, 33412719]"
muconic acid,C005939,3,"[27581441, 28625755, 17447772]"
astaxanthin,C005948,7,"[31765702, 1367215, 36012547, 35596207, 31825096, 29371561, 29371561]"
tryptophol,C005949,8,"[30864381, 34399611, 30658506, 21421532, 21421532, 35202161, 32410087, 38031740]"
grisin,C005960,1,[30256170]
hydroxytyrosol,C005975,3,"[26697685, 32443449, 30672434]"
acetylaranotin,C006370,6,"[23586797, 23586797, 30096370, 30096370, 25566227, 21122037]"
isopenicillin N,C006414,14,"[15719553, 15719553, 36011361, 36011361, 22160272, 20941491, 20941491, 25436576, 1625576, 23053082, 32351700, 32351700, 31554331, 31554331]"
aflatoxin B1-8-9 epoxide,C006426,1,[15258720]
allicin,C006452,2,"[31860394, 25432010]"
aminoacetone,C006495,1,[20562278]
4-aminobutyraldehyde,C006509,1,[38030710]
kaempferol,C006552,22,"[25002358, 18758096, 34609530, 16388469, 33233162, 31687578, 32049975, 34251173, 34251173, 30109409, 24685654, 28480420, 18218974, 19631278, 35692040, 30951817, 29970082, 31732087, 22047191, 34108825, 32623714, 28713417]"
ammonium nitrate,C006568,5,"[33036284, 27907207, 37338364, 31398401, 25825649]"
anethol,C006578,1,[16428643]
antiamoebin,C006596,1,[11120957]
argvalin,C006630,1,[38136619]
ascofuranol,C006639,1,[38133197]
ascofuranone,C006640,6,"[26288080, 35418536, 35418536, 30952781, 30952781, 30952781]"
bacilysin,C006674,13,"[28440700, 37811935, 34180606, 32160477, 35618208, 38103009, 35056513, 29430375, 35901454, 34460312, 18957859, 25860123, 19941639]"
baicalein,C006680,5,"[33756201, 37110422, 30262733, 30262733, 30262733]"
carbendazim,C006698,16,"[24689437, 28011695, 32915561, 33322905, 29346329, 25304022, 23065379, 22747978, 35142498, 32944855, 31760682, 31760682, 34010024, 34010024, 37504705, 22332977]"
benzyl benzoate,C006723,2,"[26765353, 29430942]"
botryodiplodins,C006789,4,"[31025901, 32842542, 24768282, 36844080]"
brevianamide A,C006794,2,"[11375024, 15043401]"
acetic acid butyl ester,C006848,1,[31134356]
butyl,C006854,1,[37695377]
S-S-S--tributyl-phosphorotrithioate,C006863,1,[26961755]
capsanthin,C006889,1,[34691116]
Carvone,C006923,3,"[32506599, 16356517, 16428643]"
cerevisterol,C006954,6,"[22993990, 36364185, 17277172, 23252272, 21809540, 37711987]"
chanoclavine,C006959,8,"[33498584, 23435153, 23435153, 27248330, 27248330, 26729047, 20118373, 20118373]"
chlorflavonin,C006967,2,"[10724184, 10724184]"
4-chlorobiphenyl,C006983,2,"[23250224, 25970559]"
cholesterol 3-sulfate,C007045,1,[37949224]
chrysanthemic acid,C007051,1,[23104830]
Calcofluor White,C007061,5,"[24965521, 35142498, 29021785, 29364863, 36548780]"
citral,C007076,1,[35490508]
citronellol,C007078,5,"[15668008, 26762896, 28768956, 32506599, 30154722]"
cuminaldehyde,C007165,3,"[28725928, 37450962, 36891381]"
alpha-cyano-4-hydroxycinnamic acid,C007175,2,"[29555326, 29555326]"
cyclohexene oxide,C007193,1,[8768529]
cyclopenin,C007200,10,"[11109562, 25109845, 15032483, 3373229, 30166166, 10808488, 36827136, 33811268, 9298190, 32397224]"
cyclopentanone,C007201,1,[15281234]
p-cymene,C007210,7,"[15898500, 22301976, 34315968, 37035041, 27272544, 37050048, 30131138]"
cytochalasin E,C007215,1,[25250512]
Decalin,C007229,2,"[35083850, 29707952]"
Deoxynivalenol,C007262,263,"[24291181, 30717215, 23477193, 25731032, 23915226, 23915226, 29173624, 30798881, 30798881, 34209232, 23971211, 25063396, 25063396, 15069674, 15069674, 15069674, 35229447, 28390508, 34741039, 20047255, 22742524, 22567889, 29574332, 27682608, 27682608, 32969574, 32969574, 35792191, 35792191, 21493263, 32252249, 32252249, 24451843, 24451843, 24451843, 26565730, 31540008, 12641243, 12641243, 22649328, 33625571, 33625571, 24295920, 24295920, 31137632, 31137632, 32573086, 29357387, 29357387, 19399242, 15734567, 15734567, 29964151, 22651937, 27664721, 34491093, 34491093, 27195655, 27195655, 27195655, 23422035, 25427716, 24859190, 24859190, 26861361, 18473219, 35878169, 35362967, 35362967, 35362967, 29382163, 29382163, 23047235, 22098388, 22098388, 22098388, 22897823, 22897823, 21980289, 21980289, 24603887, 17719115, 27941094, 27941094, 16521158, 16521158, 9143116, 16478260, 23162698, 23162698, 24244413, 24244413, 23474971, 23474971, 24162094, 24162094, 24162094, 24162094, 35878231, 11694092, 11694092, 33861173, 23347206, 23347206, 29677133, 23145781, 32622693, 32622693, 19888824, 19888824, 14998528, 31760682, 31760682, 35202169, 35202169, 35806249, 35806249, 35806249, 33073508, 33073508, 25325346, 25325346, 25325346, 23606046, 30395461, 36828788, 36828399, 11048592, 11048592, 11048592, 33773354, 33773354, 20681008, 20681008, 36991200, 28466509, 27869761, 27869761, 34010024, 34010024, 19073578, 19073578, 35050993, 35050993, 35050993, 35050993, 11761144, 11761144, 31159287, 26812055, 26812055, 16637167, 16637167, 34357958, 34357958, 34357958, 27618101, 27618101, 27618101, 27618101, 26861396, 26861396, 27128894, 27128894, 27128894, 3156854, 1796475, 38002956, 33077800, 19857559, 19857559, 32328050, 35448853, 35640724, 35640724, 33890134, 33890134, 33890134, 10335380, 10335380, 30244016, 30244016, 35324714, 35324714, 35324714, 21571381, 21571381, 16910743, 16910743, 16910743, 8946715, 22506013, 22506013, 28261252, 27696419, 28119673, 24919458, 35858796, 35858796, 36006214, 35888783, 35888783, 26327433, 32755601, 32755601, 36598191, 23605930, 23605930, 20576129, 20576129, 37623587, 23605623, 23605623, 23605623, 35268678, 35268678, 35268678, 23605868, 19572123, 19572123, 18338920, 38235432, 24225645, 36294594, 37293851, 11726173, 11726173, 11726173, 11726173, 29755419, 29755419, 33412719, 33788381, 33788381, 28405447, 28405447, 33717020, 22489824, 22489824, 29323531, 29323531, 29323531, 23606076, 23606076, 35090579, 35090579, 34952071, 35672806, 35053978, 34322101, 34322101, 34322101, 33810162, 33810162, 32442472, 33663294, 34562492, 34562492, 36006195, 36006195, 28233520, 26596546, 31887989]"
2-deoxystreptamine,C007265,1,[37002541]
DAPI,C007293,6,"[28592323, 34705190, 25692332, 24368570, 28728544, 29805569]"
15-azasterol,C007331,1,[2768191]
DEAE,C007369,1,[15205366]
Diethyl phthalate,C007379,2,"[28330133, 11302198]"
ethyl chrysanthemumate,C007453,1,[36891381]
dimethyl sulfate,C007482,1,[20946772]
diphenyleneiodonium,C007517,4,"[32133853, 22856333, 22856333, 15058996]"
n-Nonadecanol-1- Behenic alcohol,C007547,1,[37122583]
dodecane,C007548,3,"[31553484, 37168123, 35692578]"
Domiphen,C007556,1,[36819018]
duclauxin,C007564,5,"[31480659, 2181929, 35003004, 35003004, 35003004]"
eriodictyol,C007619,5,"[35182869, 37566738, 20132953, 16332809, 31622552]"
esculetin,C007628,2,"[31731430, 32156246]"
4-allylanisole,C007633,2,"[15898500, 37289093]"
ethyl acetate,C007650,289,"[31816593, 29980864, 29084681, 28300771, 37836769, 30470134, 33675374, 36976227, 30195388, 32743668, 28220202, 31602502, 24934634, 33743702, 31752824, 33511870, 30358043, 10409050, 25958680, 21351753, 24301768, 23775636, 23775636, 25751949, 37396737, 30157176, 36557944, 23569985, 30167726, 29541936, 35831780, 29049321, 23296917, 26353416, 32333271, 35177749, 33093944, 36233244, 37981018, 37587700, 28495036, 30744547, 30218995, 37642890, 37501023, 28058469, 28606042, 27447605, 31588788, 36749056, 35744888, 34214306, 38062305, 28648623, 24037513, 34949143, 37466533, 25248548, 15189291, 34609530, 34100180, 37129701, 29986518, 35670947, 26030999, 34928190, 26669097, 22910972, 33386937, 20438771, 23273751, 32969574, 12625043, 23219197, 25742265, 35201581, 27020867, 33127928, 35704212, 34327237, 30604885, 21531033, 23975673, 30406450, 29091863, 29573314, 23979826, 29236928, 27765350, 26151116, 32365106, 28352106, 29996765, 28245269, 27393435, 21857543, 15141066, 35099085, 23457797, 20645805, 20645805, 24361402, 32350603, 35621977, 35621977, 32228434, 22747978, 31204359, 31204359, 34548600, 37814192, 33956231, 25193498, 23140424, 21141475, 31069124, 22543352, 31984618, 27757508, 35866211, 32276418, 23692767, 38240473, 38240473, 35678834, 35942863, 29956124, 33515159, 36631103, 35323515, 26985927, 32479024, 21720823, 33877446, 36228969, 28330281, 37450962, 19862669, 30444348, 37446686, 37495305, 35576219, 24352011, 28845770, 33385937, 37121347, 33583797, 36378665, 36013971, 30294556, 37396354, 33340944, 36677409, 21122037, 23578961, 37849927, 34194402, 34264405, 32596051, 36985164, 25183332, 35430257, 37232471, 28959613, 27070586, 32517286, 31134356, 37110512, 30050508, 30123632, 32093426, 38097318, 30767622, 28669076, 32719949, 27614749, 33981211, 33177283, 30123207, 37711987, 27703452, 33355056, 35094184, 37792269, 22332977, 37002541, 36484866, 36484866, 35458737, 31353310, 36058332, 35620099, 36884139, 37891400, 31739552, 37764307, 31947697, 36744908, 30775186, 30400195, 30151327, 30791418, 37504769, 37122583, 37424340, 36313355, 37168123, 38141712, 37915561, 37895418, 38093524, 32626638, 32626638, 35448800, 37894138, 28000514, 38031334, 34186116, 37970559, 25406714, 38031740, 32486494, 33532357, 37789186, 24031513, 35791605, 30533252, 24138171, 37508297, 38079052, 36771733, 30429444, 33062385, 34867905, 36838631, 30868071, 30868071, 27624095, 29859076, 31930836, 37490243, 25918790, 37426966, 33029139, 25090452, 33150212, 36512155, 33747087, 30696899, 34415221, 29702144, 26538254, 27754712, 28044276, 25737024, 24948949, 22806873, 32165815, 37206916, 28603127, 28603127, 15032481, 35714148, 23812818, 28425950, 30498942, 24371454, 23323802, 12502330, 20384295, 18439824, 25954909, 31374354, 32160646, 20355042, 30699961, 31533688, 27801787, 25197307, 30618745, 26082986, 25071390, 31993159, 25431605, 29199568, 26559695, 31710143, 24940901, 24940901]"
ethyl chloroformate,C007658,1,[32155845]
ethyl linoleate,C007678,1,[24371454]
ethyl palmitate,C007680,1,[34659191]
fluoranthene,C007738,2,"[36287980, 36287980]"
formononetin,C007768,2,"[8031711, 18533468]"
ascomycopyrones A-D,C007792,6,"[37513260, 37623712, 37504684, 36640042, 36616333, 37828121]"
genipin,C007834,1,[36891381]
geraniol,C007836,8,"[36041052, 21296182, 26762896, 17096665, 35490508, 36936114, 30279427, 30154722]"
gibberellic acid,C007842,36,"[25002358, 24291181, 24096420, 24096420, 37874373, 37874373, 29073267, 29073267, 1302174, 15999850, 23469152, 23469152, 30047187, 30047187, 34997335, 33210271, 35689127, 32552395, 19862669, 23541032, 23541032, 25909858, 22983595, 22983595, 23636694, 23636694, 18952870, 30340353, 30340353, 30340353, 28119673, 25187149, 25187149, 36836368, 32235525, 32235525]"
6-gingerol,C007845,1,[33386071]
Gitoxigenin,C007846,2,"[34069653, 34069653]"
glutarimide,C007864,2,"[26036671, 34006654]"
gramine,C007884,2,"[21498556, 27138201]"
gymnemic acid,C007898,1,[28330304]
heliomycin,C007912,1,[33429926]
hemicellulose,C007916,10,"[28379953, 29029703, 35834675, 27984587, 18943199, 25733908, 27716564, 34436218, 35243445, 14506885]"
7-methoxycoumarin,C007929,1,[12451504]
n-hexadecane,C007932,2,"[35692578, 36549230]"
hispidin,C007946,33,"[26094784, 37175133, 35078584, 23869482, 23869482, 27696815, 38099978, 32328252, 33922000, 33922000, 16499338, 16499338, 16488146, 16488146, 17387019, 27428885, 21531558, 22870059, 21316961, 29970519, 29970519, 26077494, 22819952, 22819952, 25128810, 25128810, 25355452, 25355452, 21628917, 16908141, 18266700, 20607489, 20607489]"
hordenine,C007964,1,[35596207]
hyalodendrin,C007967,4,"[21966496, 32260204, 32260204, 7523950]"
14-hydroxyasperentin B,C007986,3,"[36976227, 36976227, 36976227]"
2-methyl-5-carboxymethyl- 7-hydroxychromone,C007998,1,[36364185]
hydroxycitric acid,C007999,1,[36677617]
2-hydroxyisobutyric acid,C008039,2,"[29987238, 29987238]"
5-hydroxymethylfurfural,C008046,3,"[37366079, 31500988, 31500988]"
3-hydroxy-3-methylglutaryl coenzyme A,C008047,3,"[36748820, 36748820, 20024080]"
3-hydroxyphenylacetic acid,C008069,1,[36517140]
2-(4-hydroxyphenyl)acetic acid,C008070,3,"[31298534, 18214603, 36008913]"
8'-hydroxyzearalenone,C008092,1,[29475061]
illudin S,C008105,1,[33851984]
indole-3-glycerol phosphate,C008117,4,"[21730199, 18262778, 30178602, 36595079]"
beta-ionone,C008157,2,"[30994190, 28345890]"
isovaleric acid,C008216,2,"[11823198, 11823198]"
1-(3-ethyloxiranyl)-ethenone,C008223,1,[37168123]
laminarin,C008247,1,[32942781]
Lapachol,C008252,2,"[30896339, 30896339]"
lead acetate,C008261,1,[26300947]
lecanoric acid,C008263,17,"[37877655, 21443956, 33130255, 34964912, 19666480, 26979434, 27645140, 34225637, 38067568, 35406647, 36235056, 21680357, 28887754, 28887754, 25852654, 33773025, 34430202]"
Leucinostatins,C008268,4,"[27416025, 27416025, 27416025, 26715220]"
lienomycin,C008279,1,[30196421]
limonene,C008281,1,[37283700]
lumazine,C008297,1,[33106626]
maltodextrin,C008315,1,[19652517]
maltotriose,C008317,2,"[12421000, 21719539]"
2-(acetylamino)-N-[(1E)-2-phenylethenyl]-acetamide,C008467,1,[37261606]
methyl red,C008492,2,"[24794733, 24794733]"
9-methylstreptimidone,C008497,1,[34520340]
methylxanthines,C008514,1,[27144019]
moniliformin,C008539,47,"[29173624, 17884217, 34486889, 33806727, 28648292, 22742524, 27682608, 31540008, 22367665, 22367665, 33904328, 29382163, 11982443, 11982443, 29528269, 20455157, 20455157, 23334038, 24064720, 24064720, 22662164, 34989594, 34989594, 24162094, 24162094, 32552395, 33861173, 33019571, 15925394, 34210546, 34210546, 27869761, 27869761, 10606581, 2254865, 2254865, 18274964, 16621435, 16621435, 32328050, 1618447, 34575814, 8946715, 19230001, 19230001, 12324191, 33238503]"
monodansylcadaverine,C008542,4,"[33178020, 28728544, 28728544, 25622112]"
morin,C008548,1,[33995321]
MOPS,C008550,1,[22252012]
mucidin,C008556,4,"[16333345, 37755004, 38173972, 37746182]"
mycoheptin,C008567,1,[1296528]
nidulin,C008617,1,[29634062]
p-nitrobenzoic acid,C008629,1,[30717441]
nobiletin,C008661,2,"[33756201, 27171979]"
octamethyl,C008705,1,[37374906]
oosporein,C008706,18,"[24934634, 24934634, 28854898, 34716379, 24965521, 16946279, 31345414, 31345414, 20457163, 15030190, 28193896, 28193896, 35330256, 26388840, 26388840, 35521576, 34436122, 34512581]"
ossamycin,C008717,1,[35921248]
palmitoleic acid,C008757,1,[35877756]
6-pentyl-2H-pyran-2-one,C008798,9,"[33851514, 33851514, 19007898, 19007898, 30670606, 30670606, 27088924, 30847610, 29201024]"
phloretic acid,C008869,5,"[24685654, 29970082, 28964360, 33925715, 37194429]"
6-phosphogluconate,C008884,1,[1176956]
2-phosphoglycerate,C008885,2,"[33233162, 37534495]"
phthiocerol dimycocerosate,C008901,1,[23002228]
